1-8	Acyclovir
10064-4	S' wave amplitude.lead V1
10065-1	S' wave amplitude.lead V2
1006-6	Direct Antiglobulin Test, IgG Specific
10066-9	S' wave amplitude.lead V3
10067-7	S' wave amplitude.lead V4
10068-5	S' wave amplitude.lead V5
10069-3	S' wave amplitude.lead V6
10070-1	S' wave duration.lead AVF
10071-9	S' wave duration.lead AVL
10072-7	S' wave duration.lead AVR
10073-5	S' wave duration.lead I
1007-4	Direct Antiglobulin Test, PolySpecific
10074-3	S' wave duration.lead II
10075-0	S' wave duration.lead III
10076-8	S' wave duration.lead V1
10077-6	S' wave duration.lead V2
10078-4	S' wave duration.lead V3
10079-2	S' wave duration.lead V4
100-8	Cefoperazone
10080-0	S' wave duration.lead V5
10081-8	S' wave duration.lead V6
1008-2	Indirect Antiglobulin Test, PolySpecific
10082-6	ST initial amplitude 6 ms.lead AVF
10083-4	ST initial amplitude 6 ms.lead AVL
10084-2	ST initial amplitude 6 ms.lead AVR
10085-9	ST initial amplitude 6 ms.lead I
10086-7	ST initial amplitude 6 ms.lead II
10087-5	ST initial amplitude 6 ms.lead III
10088-3	ST initial amplitude 6 ms.lead V1
10089-1	ST initial amplitude 6 ms.lead V2
10090-9	ST initial amplitude 6 ms.lead V3
10091-7	ST initial amplitude 6 ms.lead V4
10092-5	ST initial amplitude 6 ms.lead V5
10093-3	ST initial amplitude 6 ms.lead V6
10094-1	ST slope.lead AVF
10095-8	ST slope.lead AVL
10096-6	ST slope.lead AVR
10097-4	ST slope.lead I
10098-2	ST slope.lead II
10099-0	ST slope.lead III
10100-6	ST slope.lead V1
10101-4	ST slope.lead V2
10102-2	ST slope.lead V3
10103-0	ST slope.lead V4
10104-8	ST slope.lead V5
10105-5	ST slope.lead V6
10106-3	ST wave displacement.end.lead AVF
10107-1	ST wave displacement.end.lead AVL
10108-9	ST wave displacement.end.lead AVR
10109-7	ST wave displacement.end.lead I
10110-5	ST wave displacement.end.lead II
10111-3	ST wave displacement.end.lead III
10112-1	ST wave displacement.end.lead V1
10113-9	ST wave displacement.end.lead V2
10114-7	ST wave displacement.end.lead V3
10115-4	ST wave displacement.end.lead V4
10116-2	ST wave displacement.end.lead V5
10117-0	ST wave displacement.end.lead V6
10118-8	ST wave displacement.mid.lead AVF
10119-6	ST wave displacement.mid.lead AVL
10120-4	ST wave displacement.mid.lead AVR
10121-2	ST wave displacement.mid.lead I
10122-0	ST wave displacement.mid.lead II
10123-8	ST wave displacement.mid.lead III
1012-4	Anti-Ew
10124-6	ST wave displacement.mid.lead V1
10125-3	ST wave displacement.mid.lead V2
10126-1	ST wave displacement.mid.lead V3
10127-9	ST wave displacement.mid.lead V4
10128-7	ST wave displacement.mid.lead V5
10129-5	ST wave displacement.mid.lead V6
10130-3	T' wave amplitude.lead AVF
10131-1	T' wave amplitude.lead AVL
10132-9	T' wave amplitude.lead AVR
10133-7	T' wave amplitude.lead I
10134-5	T' wave amplitude.lead II
10135-2	T' wave amplitude.lead III
10136-0	T' wave amplitude.lead V1
10137-8	T' wave amplitude.lead V2
10138-6	T' wave amplitude.lead V3
10139-4	T' wave amplitude.lead V4
10140-2	T' wave amplitude.lead V5
10141-0	T' wave amplitude.lead V6
10142-8	T wave amplitude.lead AVF
10143-6	T wave amplitude.lead AVL
10144-4	T wave amplitude.lead AVR
10145-1	T wave amplitude.lead I
10146-9	T wave amplitude.lead II
10147-7	T wave amplitude.lead III
10148-5	T wave amplitude.lead V1
10149-3	T wave amplitude.lead V2
10150-1	T wave amplitude.lead V3
10151-9	T wave amplitude.lead V4
10152-7	T wave amplitude.lead V5
10153-5	T wave amplitude.lead V6
1015-7	Ew antigen
101-6	Cefoperazone
10160-0	History of medication use
10162-6	History of Pregnancies
10167-5	History of surgical procedures
1018-1	Anti-E
10182-4	History of Travel
1021-5	E antigen
10226-9	Oxygen Content; Intravascular Space
10229-3	Class
10230-1	Ejection fraction
10231-9	Ejection fraction
10232-7	Oxygen Content
10233-5	Oxygen Content; Left Atrium
10234-3	Oxygen Content; Right Atrium
10235-0	Oxygen Content; Right Atrium High
10236-8	Oxygen Content; Right Atrium Low
10237-6	Oxygen Conten; Right Atrium Mid
10238-4	Oxygen Content; Left Ventricle
10239-2	Oxygen Content; Right Ventricle Outflow Tract
102-4	Cefoperazone
10240-0	Oxygen Content; Right Ventricle
10241-8	Oxygen Content; Coronary Sinus
10242-6	Oxygen Content; Ductus Arteriosus
10243-4	Oxygen Content; Inferior Vena Cava
10244-2	Oxygen Content; Left Pulmonary Artery
10245-9	Oxygen Content; Main Pulmonary Artery
10246-7	Oxygen Content; Right Pulmonary Artery
10247-5	Oxygen Content; Pulmonary Wedge
10248-3	Oxygen Content; Superior Vena Cava
1024-9	Anti-Fy(a)
1027-2	Fy(a) antigen
1030-6	Anti-Fy(b)
103-2	Ceforanide
10327-5	Eosinophils/100 Leukocytes; Sputum
10328-3	Lymphocytes/100 Leukocytes; CSF
10329-1	Monocytes/100 Leukocytes; CSF
1033-0	Fy(b) antigen
10330-9	Monocytes/100 Leukocytes; Fluid
10331-7	Rh Phenotype
10332-5	Cortisol Pre 250 ug Corticotropin [ACTH] IM
10333-3	Appearance
10334-1	Cancer Antigen 125
10335-8	Colour
10336-6	Gonadotropin Peptide; Urine
10337-4	Procollagen Peptide Type 1
10338-2	Barbiturates
10339-0	Fluoxetine + Norfluoxetine
10340-8	Molindone
10341-6	Norpropoxyphene
10342-4	Sulfamethoxazole
10343-2	Temazepam
10344-0	Tranylcypromine
10345-7	Trihexyphenidyl; Urine
10346-5	Hemoglobin A; Blood
10347-3	Babesia microti
1034-8	Fetal Cell Screen
10348-1	Bordetella parapertussis antibody
10349-9	Brucella species antibody
10350-7	Herpes simplex virus antibody IgM
10351-5	HIV 1 RNA
10352-3	Culture
10353-1	Culture
10354-9	Culture
10355-6	Microscopic Examination
10357-2	Microscopic Examination
10358-0	Teichoate antibody
10359-8	Asialoganglioside GM1 Ab IgM
10360-6	DNA single strand Ab IgG
10361-4	DNA single strand Ab IgM
10362-2	Endomysium Ab IgA
10363-0	Barbiturates
10364-8	Cotinine; Hair
10365-5	Cotinine
10366-3	Cotinine; Urine
10367-1	Ethanol; Gastric Fluid
10368-9	Lead; Blood Capillary
10369-7	Opiates; Hair
10370-5	Phencyclidine; Hair
10371-3	Bite Cells
10372-1	Blister Cells
10373-9	Fragments
10374-7	Helmet Cells
10375-4	Irregularly Contracted Cells
10376-2	Macrocytes Oval
10377-0	Pencil Cells
10378-8	Polychromasia
10379-6	Erythrocytes Dual Population
10380-4	Stomatocytes
10381-2	Target Cells
10384-6	AB Variant antigen
1038-9	Anti-G
104-0	Ceforanide
10400-0	I antigen
10408-3	i antigen
1041-3	G antigen
10429-9	AE 1 antigen
10430-7	AE 3 antigen
10431-5	B-Cell antigen
10432-3	CD30 antigen
10433-1	BR-2 antigen
10434-9	Complement C3 antigen
10435-6	C5B-9 antigen
10436-4	CD15 antigen
10437-2	CD16 antigen
10438-0	CD20 antigen
10439-8	CD3 antigen
10441-4	CD34 antigen
10442-2	CD56 antigen
10443-0	CD43 T-Cell Monocyte + Myeloid Cell antigen
10444-8	CD57 antigen
10445-5	CD11C antigen
10446-3	Leukocyte Common Antigen
1044-7	Anti-H
10447-1	M-5 antigen
10448-9	T-Cell antigen
10449-7	Glucose 1h Post Meal
10450-5	Glucose Post 10h Fasting
10451-3	Proinsulin 12h Fasting
10452-1	Xylose 1h Post 25 g Xylose PO
10453-9	Xylose 1h Post Dose Xylose PO
10454-7	Xylose 2h Post 25 g Xylose PO
10455-4	Xylose 30m Post 25 g Xylose PO
10456-2	Xylose Post 6h Fasting
10457-0	Actin antigen
10458-8	Alkaline Phosphatase Placental antigen
10459-6	Alpha-1-Fetoprotein antigen
10460-4	Lactalbumin Alpha antigen
10461-2	Alpha-1-Antichymotrypsin antigen
10462-0	Alpha 1 Antitrypsin antigen
10463-8	Amyloid A Component antigen
10464-6	Amyloid P Component antigen
10465-3	Amyloid Prealbumin antigen
10466-1	Anion Gap 3
10467-9	Beta-2-Microglobulin Amyloid antigen
10468-7	Calcitonin antigen
10469-5	Carcinoembryonic Antigen
1047-0	Anti-H
10470-3	Choriogonadotropin antigen
10471-1	Chromogranin A antigen
10472-9	Chromogranin antigen
10473-7	Chymotrypsin antigen
10474-5	Collagen Type 4 Antigen
10475-2	Adrenocorticotropic Hormone [ACTH] antigen
10476-0	Desmin antigen
10477-8	Enolase Neuron Specific antigen
10478-6	Eosinophil Major Basic Protein antigen
10479-4	CD227 antigen
10480-2	Estrogen + Progesterone Receptor antigen
10481-0	Follicle Stimulating Hormone [FSH] Alpha Subunit antigen
10482-8	Follicle Stimulating Hormone [FSH] Beta Subunit antigen
10483-6	Gastrin antigen
10484-4	Glial fibrillary acidic protein antigen
10485-1	Glucagon antigen
10486-9	Hemoglobin antigen
10487-7	HMB-45 antigen
10488-5	IgA antigen
10489-3	IgA Heavy Chain antigen
10490-1	IgE antigen
10491-9	IgG antigen
10492-7	IgG Heavy Chain antigen
10493-5	IgM antigen
10494-3	IgM Heavy Chain antigen
10495-0	Insulin antigen
10496-8	Light Chains Kappa antigen
10497-6	Light Chains Kappa Amyloid antigen
10498-4	Keratin antigen
10499-2	Light Chains Lambda antigen
10500-7	Light Chains Lambda Amyloid antigen
10501-5	Luteinizing Hormone (LH)
10502-3	Luteinizing Hormone [LH] antigen
10503-1	Lysozyme antigen
1050-4	H antigne
10504-9	Myelin Basic Protein antigen
10505-6	Myoglobin antigen
10506-4	Peanut antigenglutinin antigen
10507-2	Prolactin antigen
10508-0	Prostate Specific Antigen
10509-8	Acid Phosphatase Prostatic antigen
10510-6	S-100 antigen
10511-4	Serotonin antigen
1051-2	Hemolytic Disease of the Newborn
10512-2	Somatostatin antigen
10513-0	Growth Hormone [GH] antigen
10514-8	Synaptophysin antigen
10515-5	Thyroglobulin antigen
10516-3	Thyroid Stimulating Hormone [TSH] antigen
10517-1	Trypsin antigen
10518-9	Ulex Europaeus I Lectin antigen
10519-7	Vimentin antigen
10520-5	Factor VI antigen; Tissue
10521-3	Factor VIII antigen; Tissue
10522-1	Factor XIII antigen; Tissue
10523-9	Fibrinogen antigen; Tissue
10524-7	Microscopic Examination
10525-4	Microscopic Examination
10526-2	Microscopic Examination
10527-0	Microscopic Examination
10528-8	Acetophenazine
10529-6	Amoxapine Metabolite
10530-4	Aprobarbital
10531-2	Bretylium
10533-8	Propoxyphene + Acetaminophen
10534-6	Diazoxide
10535-3	Digoxin
10536-1	Dipyridamole
10539-5	Glipizide
10540-3	Glyburide
10541-1	Mepivacaine
10542-9	Metharbital
10543-7	Methsuximide + Normethsuximide
10544-5	Normeperidine
10545-2	Normephenytoin
10546-0	Normethsuximide
10547-8	Primidone + Phenobarbital
10548-6	Phenytoin Free/Total Phenytoin Ratio
10549-4	Pirmenol
10551-0	Triamterene
10552-8	Tricyclic Antidepressants
10553-6	Acid Phosphatase Prostatic; Genital Fluid
10555-1	Acrosin
10557-7	Adenosine Triphosphate [ATP]; Semen
10558-5	Albumin; Semen
10560-1	Carcinoembryonic Antigen; Semen
10561-9	Carnitine; Semen
10562-7	Cells; Cervical Mucous
10563-5	Cells Other Than Spermatozoa
10564-3	Cervical Mucus
10565-0	Choriogonadotropin; Semen
10567-6	Citrate; Semen
10568-4	Clarity
10569-2	Colour; Semen
105-7	Ceforanide
10570-0	Consistency
10571-8	Consistency
10572-6	Duration Post Ejaculation
10573-4	Ferning; Cervical Mucous
10574-2	Fructose; Semen
10576-7	Germ Cells.Immature
10577-5	Glucosidase; Semin Plasma
10578-3	Glycerophosphocholine ;Semen
10579-1	Leukocytes
10580-9	Liquefaction
10581-7	Number Of Entities
10582-5	pH; Cervical Mucous
10583-3	Prostaglandin F1 Alpha; Semen
10585-8	Round Cells
10586-6	Semen
10587-4	Sexual Abstinence Duration
10588-2	Spermatogonia
10589-0	Spermatids
10590-8	Spermatids
10591-6	Spermatocytes Primary
10592-4	Spermatocytes Secondary
10593-2	Spermatozoa.Pyriform Head/100 Spermatozoa
10594-0	Spermatozoa.Tapering Head/100 Spermatozoa
10599-9	Spermatozoa Penetration; Seminal Fluid & Cervical Mucous
10600-5	Spermatozoa Penetration; Seminal Fluid & Cervical Mucous
10601-3	Spermatozoa Penetration Post Coitus; Seminal Fluid & Cervical Mucous
10602-1	Spermatozoa.Abnormal Head/100 Spermatozoa
1060-3	Anti-I
10603-9	Spermatozoa Abnormal Midpiece/100 Spermatozoa
10604-7	Spermatozoa.Abnormal Tail/100 Spermatozoa
10605-4	Spermatozoa.Agglutinated/100 Spermatozoa
10606-2	Spermatozoa.Amorphous Head/100 Spermatozoa
10607-0	Spermatozoa.Coiled Tail/100 Spermatozoa
10608-8	Spermatozoa.Cytoplasmic Droplet/100 Spermatozoa
10609-6	Spermatozoa.Duplicate Head/100 Spermatozoa
10610-4	Spermatozoa.Duplicate Tail/100 Spermatozoa
10611-2	Spermatozoa.Immotile/100 Spermatozoa
10612-0	Spermatozoa.Large Oval Head/100 Spermatozoa
10613-8	Spermatozoa.Viable/100 Spermatozoa
10614-6	Spermatozoa.Motile With Iga/100 Spermatozoa
10615-3	Spermatozoa.Motile With Iga/100 Spermatozoa
10616-1	Spermatozoa.Motile With Igg/100 Spermatozoa
10617-9	Spermatozoa.Motile With Igg/100 Spermatozoa
10618-7	Spermatozoa.Motile With Igm/100 Spermatozoa
10619-5	Spermatozoa.Motile With Igm/100 Spermatozoa
10620-3	Spermatozoa.Nonprogressive/100 Spermatozoa
10621-1	Spermatozoa.Normal Head/100 Spermatozoa
10622-9	Spermatozoa.Normal/100 Spermatozoa
10623-7	Spermatozoa.Pin Head/100 Spermatozoa
10624-5	Spermatozoa.Rapid/100 Spermatozoa
10625-2	Spermatozoa.Round Head/100 Spermatozoa
10626-0	Spermatozoa.Slow/100 Spermatozoa
10627-8	Spermatozoa.Small Oval Head/100 Spermatozoa
10628-6	Spermatozoa.Tail Swelling/100 Spermatozoa
10629-4	Spermatozoa.Vacuolated Head/100 Spermatozoa
10630-2	Spinnbarkeit; Cervical Mucous
10631-0	Testosterone; Semen
10632-8	Time Until Next Menstrual Period
10633-6	Zinc; Semen
10634-4	Complement C1 Esterase Inhibitor Functional/Total Commplement C1 Esterase Inhibitor
10635-1	Acanthamoeba species
10636-9	Acanthamoeba species
1063-7	Anti-I
10637-7	Acid Fast Bacteria
10638-5	Actinomycetes thermophilic Colony Count
10639-3	Actinomycetes thermophilic
10640-1	Adenovirus 40+41
10641-9	Amoeba
10642-7	Amoeba
10643-5	Amoeba
10644-3	Arthropod
10645-0	Aspergillus fumigatus antigen
10646-8	Astrovirus
10647-6	Babesia species
10648-4	Babesia species
10649-2	Calicivirus
106-5	Ceforanide
10650-0	Candida species DNA
10651-8	Chlamydophila pneumoniae antigen
10652-6	Chlamydophila pneumoniae DNA
10653-4	Clotrimazole
10654-2	Clotrimazole
10655-9	Coccidia
10656-7	Coccidia
10657-5	Cryptococcus neoformans antigen
10659-1	Cyclospora species
1066-0	I antigen
10660-9	Cytomegalovirus antigen
10662-5	Filaria
10663-3	Filaria
10664-1	Filaria
10665-8	Fungus Colony Count
10666-6	Fungus
10667-4	Fungus
10668-2	Fungus
10669-0	Fungus
10670-8	Giardia species
10671-6	Helminth
10672-4	Helminth + Arthropod
10673-2	Hepatitis B virus Core antigen
10674-0	Hepatitis B virus Surface antigen
10675-7	Hepatitis B virus Surface antigen
10676-5	Hepatitis C virus RNA
10677-3	Herpes simplex virus 1 antigen
10678-1	Herpes simplex virus 1+2 antigen
10679-9	Herpes simplex virus 2 antigen
10680-7	Herpes simplex virus
10681-5	Herpes simplex virus
10683-1	Hydatid Cyst
10684-9	Hydatid Cyst
10685-6	Hydatid Cyst
10686-4	Leishmania species
10687-2	Leishmania species
10688-0	Microscopic Examination; Hair
10689-8	Microscopic Examination
10690-6	Microsporidia
10693-0	Toxic Mushroom
1069-4	Anti-Jk(a)
10694-8	Naegleria species
10695-5	Naegleria species
10696-3	Norwalk virus
10697-1	Nystatin
10698-9	Nystatin
10699-7	Onchocerca species
10700-3	Orthopoxvirus
10701-1	Ova + Parasites
10702-9	Ova + Parasites
10703-7	Ova + Parasites
10704-5	Ova + Parasites
10705-2	Human papilloma virus antigen
10706-0	Picornavirus
10708-6	Toxic Plant
10709-4	Plasmodium falciparum antigen
10710-2	Plasmodium species
10711-0	Plasmodium vivax antigen
10712-8	Pneumocystis species
10713-6	Protheca
10714-4	Rotavirus
10715-1	Schistosoma species
10716-9	Schistosoma species
10717-7	Streptococcus pneumoniae antibody
10718-5	Strongyloides species antibody
10719-3	Taenia solium Adult antibody
10720-1	Terbinafine
10721-9	Terbinafine
10722-7	Torovirus
10723-5	Toxoplasma gondii antibody IgA
10724-3	Toxoplasma gondii antibody IgE
10725-0	Toxoplasma gondii
10726-8	Toxoplasma gondii
10727-6	Toxoplasma gondii
1072-8	Jk(a) antigen
10728-4	Trichomonas species
10729-2	Trypanosoma species
107-3	Cefotaxime
10730-0	Trypanosoma species
10731-8	Trypanosoma species
10732-6	Trypanosoma species
10733-4	Trypanosoma species
10734-2	Varicella-zoster virus
10735-9	Viral Sequencing
10736-7	Virus
10737-5	Virus
10738-3	Virus
10739-1	Virus
10740-9	Microscopic Examination
10741-7	Microscopic Examination
10742-5	Microscopic Examination
10743-3	Microscopic Examination
10744-1	Microscopic Examination
10745-8	Microscopic Examination
10746-6	Microscopic Examination
10747-4	Microscopic Examination
10748-2	Microscopic Examination
10749-0	Microscopic Examination
10750-8	Microscopic Examination
1075-1	Anti-Jk(b)
10751-6	Microscopic Examination
10753-2	Fat Microscopic Observation; Stool
10754-0	Microscopic Examination
10755-7	Microscopic Examination
10756-5	Microscopic Examination
10757-3	Microscopic Examination
10758-1	Microscopic Examination
10759-9	Microscopic Examination
10760-7	Microscopic Examination
10761-5	Microscopic Examination
10762-3	Microscopic Examination
10763-1	Microscopic Examination
10764-9	Microscopic Examination
10765-6	Microscopic Examination
10766-4	Microscopic Examination
10767-2	Microscopic Examination
10768-0	Microscopic Examination
10769-8	Microscopic Examination
10770-6	Microscopic Examination
10772-2	Microscopic Examination
10773-0	Microscopic Examination
10774-8	Microscopic Examination
10775-5	Microscopic Examination
10776-3	Microscopic Examination
10777-1	Microscopic Examination
10778-9	Microscopic Examination
10779-7	Microscopic Examination
10780-5	Microscopic Examination
10781-3	Microscopic Examination
10782-1	Microscopic Examination
10783-9	Microscopic Examination
10784-7	Microscopic Examination
1078-5	Jk(b) antigen
10785-4	Microscopic Examination
10786-2	Microscopic Examination
10787-0	Microscopic Examination
10788-8	Microscopic Examination
10789-6	Microscopic Examination
10790-4	Microscopic Examination
10791-2	Microscopic Examination
10792-0	Microscopic Examination
10793-8	Microscopic Examination
10794-6	Microscopic Examination
10795-3	Microscopic Examination
10796-1	Microscopic Examination
10797-9	Microscopic Examination
10798-7	Microscopic Examination
10799-5	Microscopic Examination
10800-1	Microscopic Examination
10801-9	Microscopic Examination
10802-7	Microscopic Examination
10803-5	Microscopic Examination
10804-3	Microscopic Examination
10805-0	Microscopic Examination
10806-8	Microscopic Examination
10807-6	Microscopic Examination
10808-4	Microscopic Examination
10809-2	Microscopic Examination
108-1	Cefotaxime
10810-0	Microscopic Examination
10811-8	Microscopic Examination
10812-6	Microscopic Examination
10813-4	Microscopic Examination
10814-2	Microscopic Examination
10815-9	Microscopic Examination
10817-5	Microscopic Examination
10818-3	Microscopic Examination
1081-9	Anti-Js(a)
10819-1	Microscopic Examination
10822-5	Microscopic Examination
10823-3	Microscopic Examination
10824-1	Microscopic Examination
10825-8	Microscopic Examination
10826-6	Microscopic Examination
10827-4	Microscopic Examination
10828-2	Microscopic Examination
10829-0	Silicon
10832-4	Glucose 15m Post 50 g Lactose PO
10833-2	Insulin 7h Post 75 g Glucose PO
10834-0	Globulin; Calculated
10835-7	Lipoprotein Little a
10836-5	Niacin; Blood
10837-3	Organic Acids
10838-1	Phosphoserine
10839-9	Troponin I
10840-7	Atropine; Urine
10841-5	Methazolamide
10842-3	HLA-DQ1; Blood
1084-3	Js(a) antigen
10843-1	HLA-DQ2; Blood
10844-9	HLA-DQ3; Blood
10845-6	HLA-DQ4; Blood
10846-4	Borrelia burgdorferi DNA
10847-2	Borrelia burgdorferi DNA
10848-0	Chlamydia species antibody IgG
10849-8	Chlamydia species antibody IgM
10850-6	Cyclospora cayetanensis
10851-4	Escherichia coli O157:H7
10853-0	Isospora belli
10855-5	Microscopic Examination
10856-3	Microscopic Examination
10857-1	Microsporidia
10858-9	Teichoate antibody
10859-7	Trypanosoma species
10860-5	Varicella-zoster virus
10861-3	Progesterone Receptor
10862-1	Basement membrane Ab
10863-9	Endomysium Ab IgA
10864-7	Immune complex
10865-4	Intercellular substance Ab
10866-2	Sulfatide Ab IgG
10867-0	Sulfatide Ab IgM
10868-8	Bacitracin
10869-6	Xylose 3h Post 25 g Xylose PO; Blood
10870-4	Xylose 4h Post 25 g Xylose PO; Blood
10871-2	Xylose 5h Post 25 g Xylose PO; Blood
10872-0	Xylose Baseline; Blood
10873-8	Beta-2-Microglobulin; 24h Urine
10874-6	Bombesin
10875-3	Carnitine Esters; Urine
1087-6	Anti-Js(b)
10876-1	Carnitine Esters
10877-9	Carnitine Free; Urine
10878-7	PbI
10879-5	Isovalerylglycine; Urine
10880-3	Magnesium; Stool
10881-1	Pentacarboxylporphyrins; RBC
10882-9	Pentacarboxylporphyrins
10883-7	Phenolphthalein; Stool
10884-5	Phosphate; Stool
10885-2	Porphyrins; 24h Urine
10886-0	Prostate Specific Antigen Free
10887-8	Pyridinoline; 24h Urine
10888-6	Triacylglycerol Lipase; Urine
10889-4	Bisacodyl; Stool
10891-0	Oxyphenisatin; Stool
10892-8	Pentoxyfylline
10893-6	Trenbolone; Urine
10894-4	Aspergillus niger antibody
10895-1	Clostridium difficile toxin B
10896-9	Eastern Equine Encephalitis virus antibody IgG
10897-7	Eastern Equine Encephalitis virus antibody IgG
10898-5	Eastern Equine Encephalitis virus antibody IgM
10899-3	Eastern Equine Encephalitis virus antibody IgM
1090-0	Js(b) antigen
10900-9	Hepatitis B virus Surface antibody
10901-7	HIV 2 GP125 antibody
10902-5	HIV 2 GP36 antibody
10903-3	Hyaluronidase antibody
10904-1	La Crosse virus antibody IgG
10905-8	La Crosse virus antibody IgM
10906-6	Saint Louis Encephalitis virus antibody IgG
10907-4	Saint Louis Encephalitis virus antibody IgM
10908-2	Streptococcus pneumoniae 7 antibody IgG
10909-0	Benzidine; Urine
10910-8	Borate; Urine
10911-6	Dichlorobenzidine; Urine
10912-4	Lead
10913-2	4,4'-Methylene Bis(2-Chloroaniline); Urine
10914-0	Methylenediamine; Urine
10915-7	Phencyclidine
10916-5	Platinum; Blood
10917-3	Zinc; Stool
10918-1	Zinc
10919-9	Anisakis IgE
10920-7	Bamboo shoot IgE
10921-5	Blomia tropicalis IgE
10922-3	Bovine Serum Albumin IgE
10923-1	Bromelin IgE
10924-9	Starfruit IgE
10925-6	Chub Mackerl IgE
10926-4	Deer Epithelium IgE
10927-2	Elk Meat IgE
10928-0	Fennel Fresh IgE
10929-8	Fennel Seed IgE
10930-6	Fish Feed IgE
10931-4	Daphnia IgE
10932-2	Tetramin IgE
10933-0	Guar Gum IgE
1093-4	Anti-K
10934-8	Guava IgE
10935-5	Horse Serum Proteins IgE
10936-3	Mare Milk IgE
10937-1	Marjoram IgE
10938-9	Mediterrean Flour Moth IgE
10939-7	Whiff IgE
10940-5	Cow Milk Boiled IgE
10941-3	Milk Powder IgE
10942-1	Cockspur IgE
10943-9	Mink Epithelium IgE
10944-7	Octopus IgE
10945-4	Papain IgE
10946-2	Passion Fruit IgE
10947-0	Persimmon IgE
10948-8	Pigeon Feather IgE
10949-6	Malassezia furfur IgE
10950-4	Reindeer Epithelium IgE
10951-2	Sericin IgE
10952-0	Swine Urine Proteins IgE
10953-8	Timothy IgG
10954-6	Pine Nut IgE
10955-3	Long Leaf Pine IgE
10956-1	Short Leaf Pine IgE
10957-9	Slash Pine IgE
10958-7	Virginia Scrub Pine IgE
10959-5	Plaice IgE
10960-3	Rabbit Serum Proteins IgE
10961-1	Rabbit Urine Proteins IgE
10963-7	Spondylocladium citrovirens IgE
10964-5	17-Hydroxyprogesterone 15m Post 250 ug Corticotropin [ACTH] IM
10965-2	17-Hydroxyprogesterone 30m Post 250 ug Corticotropin [ACTH] IM
10966-0	Glucose 2.5h Post 75 g Glucose PO; Urine
1096-7	K antigen
10967-8	Glucose 3.5h Post 75 g Glucose PO; Urine
10968-6	Glucose 4.5h Post 75 g Glucose PO; Urine
10969-4	Cystine + Homocysteine; Urine
10970-2	Galactose 1 Phosphate Uridyl Transferase; Blood
10971-0	Lysozyme; Urine
10972-8	Organic Acids; Urine
10973-6	3 Methoxy O Desmethylencainide
10974-4	5-Fluorocytosine; Urine
10975-1	6-Monoacetylmorphine; Urine
10976-9	6-Monoacetylmorphine; Urine
10977-7	Alprazolam; Blood
10978-5	Amitriptyline + Nortriptyline; Urine
10979-3	Carisoprodol; Urine
10980-1	Cephapirin
